Title,genre,director,publication date,publisher
node description,,,,
node label,,,,
Rotten Tomatoes ID,,,,
cast member,,,,
YouTube video ID,,,,
MPAA film rating,,,,
Metacritic ID,,,,
Netflix ID,,,,
FSK film rating,,,,
Swedish Film Database film ID,,,,
ČSFD film ID,,,,
BBFC rating,,,,
TCM Movie Database film ID,,,,
Minkultury film ID,,,,
RARS rating,,,,
TV.com ID,,,,
Filmportal ID,,,,
Kijkwijzer rating,,,,
BFI National Archive work ID,,,,
ISAN,,,,
ClassInd rating,,,,
INCAA film rating,,,,
IMDb ID,,,,
KMRB film rating,,,,
Filmweb.pl ID,,,,
FPB rating,,,,
ICAA film catalogue ID,,,,
KAVI rating,,,,
César Award film ID,,,,
Fandango film ID,,,,
Microsoft Store product ID,,,,
Comic Vine ID,,,,
Medierådet rating,,,,
Disney A to Z ID,,,,
iTunes movie ID,,,,
Hulu movie ID,,,,
Libreflix ID,,,,
RCQ classification,,,,
ACMI web ID,,,,
Writers Guild of America project ID,,,,
OFLC classification,,,,
Vudu video ID,,,,
IFCO rating,,,,
Disney+ movie ID,,,,
FandangoNow ID,,,,
HBO Max ID,,,,
playDB play ID,,,,
The Criterion Collection film ID,,,,
Apple TV movie ID,,,,
Jan Dara,LGBT-related film,Nonzee Nimibutr,2001-01-01,
Elektra – Original Motion Picture Score,,,,
Moondram Pirai,romance film,Balu Mahendra,1982-02-19,
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",parody film,Robert Altman,1976-06-24,
Buffalo Girls,novel,,1990-01-01,
Buffalo '66,crime film,Vincent Gallo,1998-01-01,
What We Wanted,drama,Ulrike Kofler,2020-11-06,
Anti-Technodrome gear,,,,
Wanted: Dead or Alive,thriller film,Gary Sherman,1987-01-01,
Portable Portal Generator,,,,
Linger,drama,Johnnie To,2008-01-10,
Eastern Condors,war film,Sammo Hung,1987-01-01,
Jay's Pizza,,,,
Amerika,novel,,,
Baxter Stockman's teleporter,,,,
Sergeant Garcia,,,,
Trans Latin American,,,,
Bukowski: Born into This,documentary film,,2003-01-01,
Furiosa,action film,George Miller,2023-06-23,
Fatal Move,gangster film,Dennis Law,2008-02-07,
On the Mountain of Tai Hang,war film,Chen Jian,2005-08-15,
Viktor Krištof,,,,
Forever Enthralled,biographical film,Chen Kaige,2008-12-05,
Bulletproof,crime film,Steve Carver,1988-01-01,
Kill the Irishman,gangster film,Jonathan Hensleigh,2011-03-11,
Bullseye!,spy film,Michael Winner,1990-01-01,
Bully,documentary film,Lee Hirsch,2011-04-23,
Dry Wind,LGBT-related film,Daniel Nolasco,2020-02-26,
The Big Hit,heist film,Kirk Wong,1998-01-01,
Angels Fallen,horror film,Ali Zamani,2020-01-14,
Gagarine,drama,Jerémy Trouilh,2020-11-18,
Golimaar,thriller film,Puri Jagannadh,2010-01-01,
O Maidens in Your Savage Season,sex comedy,,,
Adhurs,thriller film,V. V. Vinayak,2009-01-01,
Rose Island,,Sydney Sibilia,2020-12-09,
Bunny,children's film,Chris Wedge,1998-01-01,
